Price,Close,High,Low,Open,Volume
Ticker,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L
Date,,,,,
2020-01-02,594.159423828125,597.054864771893,587.7695755509712,588.0690892151254,17220449
2020-01-03,593.4605712890625,601.0744949457439,585.8725465755404,591.5635498760095,16976787
2020-01-06,584.275146484375,591.5136883908183,579.882075986366,589.0675482484882,18984368
2020-01-07,582.47802734375,587.0707331939379,581.6792429013719,586.9709156079892,14960529
2020-01-08,580.3811645507812,581.6790975372408,575.3890677269509,579.5824412467048,20405597
2020-01-09,587.1704711914062,589.1673101492939,583.9356018298184,585.0738146610997,17121609
2020-01-10,583.6759643554688,588.997556888598,583.6759643554688,587.6696420067238,12736356
2020-01-13,589.8662109375,592.3622596135547,583.6759980331468,591.064326489744,19403997
2020-01-14,589.466796875,593.7599878067558,586.970748549714,590.7647298164127,19490727
2020-01-15,588.8678588867188,591.4937072696574,584.6744844431087,589.067554991404,19759603
2020-01-16,589.966064453125,591.3638150892851,585.7726906672729,588.0690431642178,23021631
2020-01-17,593.061279296875,597.7837847982994,590.0660203105272,590.8647438524798,26308573
2020-01-20,591.4637451171875,595.7569368443536,590.4653256020935,593.6602192994415,8809260
2020-01-21,584.6744384765625,587.2004690779121,576.6870824266713,585.7727364966369,22908044
2020-01-22,580.2813720703125,586.7710982217866,578.1846547504716,585.273469109908,27327599
2020-01-23,572.0943603515625,581.0801356450426,571.0959408745091,578.0848772138825,21430604
2020-01-24,578.4842529296875,584.874100837906,573.7627234568934,574.6902102738259,21990105
2020-01-27,558.21630859375,568.5000780200421,556.8185578807036,567.1022663683065,28085403
2020-01-28,566.802734375,567.9009713953434,557.8668681031055,562.3098468466528,18958064
2020-01-29,565.4049072265625,571.1957276939604,564.1069741640107,568.5000440020011,15334613
2020-01-30,562.1101684570312,565.0056093307758,557.9167944442144,559.1149100105462,18906284
2020-01-31,550.9277954101562,561.7107124033862,549.6298624187023,559.0150288590903,25062553
2020-02-03,554.82177734375,558.7155771744655,550.1202351032794,552.1260322679036,21079256
2020-02-04,562.80908203125,565.4049483451356,560.1133372045596,561.610966448422,19748922
2020-02-05,568.1007080078125,570.2972431439115,557.9168166958568,559.514324494243,25527275
2020-02-06,572.593505859375,575.488946393509,569.5982477642083,572.99289798087,20422349
2020-02-07,580.3811645507812,581.0800702938539,571.69490388958,574.0911347404914,27087091
2020-02-10,577.3860473632812,580.7806984073982,575.0896944516477,579.4827651041876,28329554
2020-02-11,590.4652709960938,592.0627176970365,582.7774292531001,583.2766389644803,39527343
2020-02-12,594.458984375,595.2577077734221,571.8447587163715,590.0659142756448,20973287
2020-02-13,588.9676513671875,598.0532438854653,583.276648377869,589.0674689356003,23430915
2020-02-14,583.576171875,591.3638314419674,583.576171875,589.5666886093884,20014747
2020-02-17,589.7664794921875,592.3623461188951,584.4748677139314,584.4748677139314,16734803
2020-02-18,551.0277099609375,572.6933629262497,548.6314789440332,569.0990773395795,77292226
2020-02-19,558.1165161132812,567.3019879579824,557.9168200199567,561.6109844610388,52906245
2020-02-20,558.8154296875,565.0555518232396,556.8185906040633,564.1070410708687,35076695
2020-02-21,561.3114624023438,563.1086053380247,556.6188785034553,561.7107936443334,51321873
2020-02-24,549.9293212890625,557.9166754426834,545.8358266608022,554.1226944074486,74218385
2020-02-25,538.8469848632812,555.1212095749536,536.750267472538,554.7218174228062,85272594
2020-02-26,554.122802734375,555.171130984243,543.3897934922227,545.236845125862,50203905
2020-02-27,528.4635009765625,540.6442327195723,523.7709165011368,537.748791400627,62069456
